Theta, Alpha, Low_beta, High_beta, Gamma
3.622404719 , 3.00139415215 , 2.83904573752 , 1.00024688642 , 1.14333805315 ,
5.15861572041 , 1.86205903987 , 6.85305211138 , 2.8076400911 , 2.61680855805 ,
11.3848907536 , 8.73647394136 , 4.36183674911 , 9.84243035918 , 9.48407904685 ,
5.55177865363 , 5.63059805026 , 7.59897011631 , 2.99816184831 , 2.75820362659 ,
5.99341659703 , 5.97839491332 , 8.67153839763 , 3.34673356584 , 2.80558067191 ,
3.622404719 , 3.00139415215 , 2.83904573752 , 1.00024688642 , 1.14333805315 ,
5.15861572041 , 1.86205903987 , 6.85305211138 , 2.8076400911 , 2.61680855805 ,
11.3848907536 , 8.73647394136 , 4.36183674911 , 9.84243035918 , 9.48407904685 ,
5.55177865363 , 5.63059805026 , 7.59897011631 , 2.99816184831 , 2.75820362659 ,
5.99341659703 , 5.97839491332 , 8.67153839763 , 3.34673356584 , 2.80558067191 ,
3.622404719 , 3.00139415215 , 2.83904573752 , 1.00024688642 , 1.14333805315 ,
5.15861572041 , 1.86205903987 , 6.85305211138 , 2.8076400911 , 2.61680855805 ,
11.3848907536 , 8.73647394136 , 4.36183674911 , 9.84243035918 , 9.48407904685 ,
5.55177865363 , 5.63059805026 , 7.59897011631 , 2.99816184831 , 2.75820362659 ,
4.35832857568 , 3.04697056682 , 5.44428919561 , 2.78287182497 , 1.21361041235 ,
3.75859793312 , 2.13772881111 , 2.30524332505 , 0.771707833709 , 0.790640417886 ,
4.56032152297 , 2.23783056655 , 4.26158861447 , 2.76123211277 , 1.90706746434 ,
8.69854691266 , 4.34976214939 , 4.80614887275 , 4.54959651022 , 5.30094407074 ,
3.49045780704 , 3.04792979223 , 4.63462894202 , 2.67906756607 , 1.26354538741 ,
4.35832857568 , 3.04697056682 , 5.44428919561 , 2.78287182497 , 1.21361041235 ,
3.75859793312 , 2.13772881111 , 2.30524332505 , 0.771707833709 , 0.790640417886 ,
4.56032152297 , 2.23783056655 , 4.26158861447 , 2.76123211277 , 1.90706746434 ,
8.69854691266 , 4.34976214939 , 4.80614887275 , 4.54959651022 , 5.30094407074 ,
3.49045780704 , 3.04792979223 , 4.63462894202 , 2.67906756607 , 1.26354538741 ,
4.35832857568 , 3.04697056682 , 5.44428919561 , 2.78287182497 , 1.21361041235 ,
3.75859793312 , 2.13772881111 , 2.30524332505 , 0.771707833709 , 0.790640417886 ,
4.56032152297 , 2.23783056655 , 4.26158861447 , 2.76123211277 , 1.90706746434 ,
8.69854691266 , 4.34976214939 , 4.80614887275 , 4.54959651022 , 5.30094407074 ,
3.49045780704 , 3.04792979223 , 4.63462894202 , 2.67906756607 , 1.26354538741 ,
4.35832857568 , 3.04697056682 , 5.44428919561 , 2.78287182497 , 1.21361041235 ,
3.75859793312 , 2.13772881111 , 2.30524332505 , 0.771707833709 , 0.790640417886 ,
4.56032152297 , 2.23783056655 , 4.26158861447 , 2.76123211277 , 1.90706746434 ,
8.69854691266 , 4.34976214939 , 4.80614887275 , 4.54959651022 , 5.30094407074 ,
3.49045780704 , 3.04792979223 , 4.63462894202 , 2.67906756607 , 1.26354538741 ,
4.73091575786 , 1.75400266817 , 3.70953021588 , 2.24411277716 , 1.17094372307 ,
3.14197644855 , 1.45550770489 , 1.83300076943 , 0.742557487152 , 0.597744245173 ,
1.97281156084 , 3.07366119993 , 2.75684200219 , 1.5739063304 , 1.29815853294 ,
4.08868827054 , 1.96759469737 , 4.38977486872 , 5.64323089752 , 2.96343066807 ,
3.14073414847 , 1.70012174289 , 3.84070540655 , 2.24499358067 , 1.11224346636 ,
4.73091575786 , 1.75400266817 , 3.70953021588 , 2.24411277716 , 1.17094372307 ,
3.14197644855 , 1.45550770489 , 1.83300076943 , 0.742557487152 , 0.597744245173 ,
1.97281156084 , 3.07366119993 , 2.75684200219 , 1.5739063304 , 1.29815853294 ,
4.08868827054 , 1.96759469737 , 4.38977486872 , 5.64323089752 , 2.96343066807 ,
3.14073414847 , 1.70012174289 , 3.84070540655 , 2.24499358067 , 1.11224346636 ,
4.73091575786 , 1.75400266817 , 3.70953021588 , 2.24411277716 , 1.17094372307 ,
3.14197644855 , 1.45550770489 , 1.83300076943 , 0.742557487152 , 0.597744245173 ,
1.97281156084 , 3.07366119993 , 2.75684200219 , 1.5739063304 , 1.29815853294 ,
4.08868827054 , 1.96759469737 , 4.38977486872 , 5.64323089752 , 2.96343066807 ,
3.14073414847 , 1.70012174289 , 3.84070540655 , 2.24499358067 , 1.11224346636 ,
4.73091575786 , 1.75400266817 , 3.70953021588 , 2.24411277716 , 1.17094372307 ,
3.14197644855 , 1.45550770489 , 1.83300076943 , 0.742557487152 , 0.597744245173 ,
1.97281156084 , 3.07366119993 , 2.75684200219 , 1.5739063304 , 1.29815853294 ,
4.08868827054 , 1.96759469737 , 4.38977486872 , 5.64323089752 , 2.96343066807 ,
3.14073414847 , 1.70012174289 , 3.84070540655 , 2.24499358067 , 1.11224346636 ,
4.73091575786 , 1.75400266817 , 3.70953021588 , 2.24411277716 , 1.17094372307 ,
3.14197644855 , 1.45550770489 , 1.83300076943 , 0.742557487152 , 0.597744245173 ,
1.97281156084 , 3.07366119993 , 2.75684200219 , 1.5739063304 , 1.29815853294 ,
4.08868827054 , 1.96759469737 , 4.38977486872 , 5.64323089752 , 2.96343066807 ,
3.14073414847 , 1.70012174289 , 3.84070540655 , 2.24499358067 , 1.11224346636 ,
4.54694728403 , 3.44445920529 , 4.8134320386 , 1.75758177905 , 0.9208188145 ,
2.37703341068 , 0.727288097868 , 0.944297916659 , 0.718304433046 , 0.660680606234 ,
1.05667911894 , 2.16835714374 , 2.02308626254 , 1.6042741031 , 1.42456975291 ,
3.4509182142 , 2.66147385053 , 4.10745801419 , 5.23651976786 , 3.96658649105 ,
4.04464333014 , 3.20031914857 , 4.86022403984 , 1.66545971363 , 0.87706181454 ,
4.54694728403 , 3.44445920529 , 4.8134320386 , 1.75758177905 , 0.9208188145 ,
2.37703341068 , 0.727288097868 , 0.944297916659 , 0.718304433046 , 0.660680606234 ,
1.05667911894 , 2.16835714374 , 2.02308626254 , 1.6042741031 , 1.42456975291 ,
3.4509182142 , 2.66147385053 , 4.10745801419 , 5.23651976786 , 3.96658649105 ,
4.04464333014 , 3.20031914857 , 4.86022403984 , 1.66545971363 , 0.87706181454 ,
4.54694728403 , 3.44445920529 , 4.8134320386 , 1.75758177905 , 0.9208188145 ,
2.37703341068 , 0.727288097868 , 0.944297916659 , 0.718304433046 , 0.660680606234 ,
1.05667911894 , 2.16835714374 , 2.02308626254 , 1.6042741031 , 1.42456975291 ,
3.4509182142 , 2.66147385053 , 4.10745801419 , 5.23651976786 , 3.96658649105 ,
4.04464333014 , 3.20031914857 , 4.86022403984 , 1.66545971363 , 0.87706181454 ,
4.54694728403 , 3.44445920529 , 4.8134320386 , 1.75758177905 , 0.9208188145 ,
2.37703341068 , 0.727288097868 , 0.944297916659 , 0.718304433046 , 0.660680606234 ,
1.05667911894 , 2.16835714374 , 2.02308626254 , 1.6042741031 , 1.42456975291 ,
3.4509182142 , 2.66147385053 , 4.10745801419 , 5.23651976786 , 3.96658649105 ,
4.04464333014 , 3.20031914857 , 4.86022403984 , 1.66545971363 , 0.87706181454 ,
4.54694728403 , 3.44445920529 , 4.8134320386 , 1.75758177905 , 0.9208188145 ,
7.24415631769 , 0.652560231271 , 0.860960464044 , 0.602141269153 , 0.478376389695 ,
1.15212854871 , 2.53145785918 , 5.40997605377 , 1.68866607465 , 1.50718727528 ,
3.95595160703 , 2.62967078352 , 4.10506706277 , 2.93803573767 , 4.7465890032 ,
5.06349073598 , 3.17206057681 , 2.68205093156 , 1.41801211561 , 0.796521121309 ,
6.64214902126 , 2.99580535595 , 2.71549109361 , 1.50364034641 , 0.844506738439 ,
7.24415631769 , 0.652560231271 , 0.860960464044 , 0.602141269153 , 0.478376389695 ,
1.15212854871 , 2.53145785918 , 5.40997605377 , 1.68866607465 , 1.50718727528 ,
3.95595160703 , 2.62967078352 , 4.10506706277 , 2.93803573767 , 4.7465890032 ,
5.06349073598 , 3.17206057681 , 2.68205093156 , 1.41801211561 , 0.796521121309 ,
6.64214902126 , 2.99580535595 , 2.71549109361 , 1.50364034641 , 0.844506738439 ,
7.24415631769 , 0.652560231271 , 0.860960464044 , 0.602141269153 , 0.478376389695 ,
1.15212854871 , 2.53145785918 , 5.40997605377 , 1.68866607465 , 1.50718727528 ,
3.95595160703 , 2.62967078352 , 4.10506706277 , 2.93803573767 , 4.7465890032 ,
5.06349073598 , 3.17206057681 , 2.68205093156 , 1.41801211561 , 0.796521121309 ,
6.64214902126 , 2.99580535595 , 2.71549109361 , 1.50364034641 , 0.844506738439 ,
7.24415631769 , 0.652560231271 , 0.860960464044 , 0.602141269153 , 0.478376389695 ,
1.15212854871 , 2.53145785918 , 5.40997605377 , 1.68866607465 , 1.50718727528 ,
3.95595160703 , 2.62967078352 , 4.10506706277 , 2.93803573767 , 4.7465890032 ,
5.06349073598 , 3.17206057681 , 2.68205093156 , 1.41801211561 , 0.796521121309 ,
6.64214902126 , 2.99580535595 , 2.71549109361 , 1.50364034641 , 0.844506738439 ,
7.24415631769 , 0.652560231271 , 0.860960464044 , 0.602141269153 , 0.478376389695 ,
1.15212854871 , 2.53145785918 , 5.40997605377 , 1.68866607465 , 1.50718727528 ,
3.95595160703 , 2.62967078352 , 4.10506706277 , 2.93803573767 , 4.7465890032 ,
5.06349073598 , 3.17206057681 , 2.68205093156 , 1.41801211561 , 0.796521121309 ,
5.67105918161 , 4.07892038194 , 2.17407003241 , 2.19497667047 , 1.13454359382 ,
8.03709800277 , 1.23567317258 , 1.34996721689 , 0.670347949041 , 0.334115889316 ,
2.58409091174 , 3.41353554182 , 5.59660126978 , 1.75415558182 , 1.29748115414 ,
5.79195835574 , 3.68134924008 , 3.66466448147 , 2.57186232228 , 4.33024600493 ,
4.23443900988 , 4.20631228542 , 1.97077588315 , 1.99379138298 , 1.09749748009 ,
5.67105918161 , 4.07892038194 , 2.17407003241 , 2.19497667047 , 1.13454359382 ,
8.03709800277 , 1.23567317258 , 1.34996721689 , 0.670347949041 , 0.334115889316 ,
2.58409091174 , 3.41353554182 , 5.59660126978 , 1.75415558182 , 1.29748115414 ,
5.79195835574 , 3.68134924008 , 3.66466448147 , 2.57186232228 , 4.33024600493 ,
4.23443900988 , 4.20631228542 , 1.97077588315 , 1.99379138298 , 1.09749748009 ,
5.67105918161 , 4.07892038194 , 2.17407003241 , 2.19497667047 , 1.13454359382 ,
8.03709800277 , 1.23567317258 , 1.34996721689 , 0.670347949041 , 0.334115889316 ,
2.58409091174 , 3.41353554182 , 5.59660126978 , 1.75415558182 , 1.29748115414 ,
5.79195835574 , 3.68134924008 , 3.66466448147 , 2.57186232228 , 4.33024600493 ,
4.23443900988 , 4.20631228542 , 1.97077588315 , 1.99379138298 , 1.09749748009 ,
5.67105918161 , 4.07892038194 , 2.17407003241 , 2.19497667047 , 1.13454359382 ,
8.03709800277 , 1.23567317258 , 1.34996721689 , 0.670347949041 , 0.334115889316 ,
2.58409091174 , 3.41353554182 , 5.59660126978 , 1.75415558182 , 1.29748115414 ,
5.79195835574 , 3.68134924008 , 3.66466448147 , 2.57186232228 , 4.33024600493 ,
4.23443900988 , 4.20631228542 , 1.97077588315 , 1.99379138298 , 1.09749748009 ,
5.67105918161 , 4.07892038194 , 2.17407003241 , 2.19497667047 , 1.13454359382 ,
8.03709800277 , 1.23567317258 , 1.34996721689 , 0.670347949041 , 0.334115889316 ,
2.58409091174 , 3.41353554182 , 5.59660126978 , 1.75415558182 , 1.29748115414 ,
5.79195835574 , 3.68134924008 , 3.66466448147 , 2.57186232228 , 4.33024600493 ,
4.23443900988 , 4.20631228542 , 1.97077588315 , 1.99379138298 , 1.09749748009 ,
7.8925422628 , 3.04628881642 , 2.41372258143 , 2.00290912298 , 1.31169030499 ,
8.95946221017 , 1.97278930431 , 2.44914894808 , 0.760388804203 , 0.416496214325 ,
9.31696314721 , 4.65578371758 , 5.96556364074 , 2.74707691479 , 1.46422440094 ,
11.7783787758 , 4.27979867321 , 3.92394650108 , 2.87518316523 , 3.64084261937 ,
7.07301977709 , 2.79895561787 , 2.22049565937 , 1.92008223493 , 1.32122463171 ,
7.8925422628 , 3.04628881642 , 2.41372258143 , 2.00290912298 , 1.31169030499 ,
8.95946221017 , 1.97278930431 , 2.44914894808 , 0.760388804203 , 0.416496214325 ,
9.31696314721 , 4.65578371758 , 5.96556364074 , 2.74707691479 , 1.46422440094 ,
