Theta, Alpha, Low_beta, High_beta, Gamma
0.854877998,0.683004346,0.890564261,0.182786463,0.38558469
0.718746681,0.374315451,0.974151239,0.482368378,0.234972513
1.182851759,0.654690936,0.860804198,0.354234646,0.18057945
1.317921732,0.569623012,0.889721321,0.241599812,0.154689199
0.851794204,0.470372278,0.414587671,0.136610279,0.136466933
0.854877998,0.683004346,0.890564261,0.182786463,0.38558469
0.718746681,0.374315451,0.974151239,0.482368378,0.234972513
1.182851759,0.654690936,0.860804198,0.354234646,0.18057945
1.317921732,0.569623012,0.889721321,0.241599812,0.154689199
0.851794204,0.470372278,0.414587671,0.136610279,0.136466933
0.854877998,0.683004346,0.890564261,0.182786463,0.38558469
0.718746681,0.374315451,0.974151239,0.482368378,0.234972513
1.182851759,0.654690936,0.860804198,0.354234646,0.18057945
1.317921732,0.569623012,0.889721321,0.241599812,0.154689199
0.851794204,0.470372278,0.414587671,0.136610279,0.136466933
0.854877998,0.683004346,0.890564261,0.182786463,0.38558469
0.718746681,0.374315451,0.974151239,0.482368378,0.234972513
1.182851759,0.654690936,0.860804198,0.354234646,0.18057945
1.317921732,0.569623012,0.889721321,0.241599812,0.154689199
0.851794204,0.470372278,0.414587671,0.136610279,0.136466933
0.854877998,0.683004346,0.890564261,0.182786463,0.38558469
0.718746681,0.374315451,0.974151239,0.482368378,0.234972513
1.182851759,0.654690936,0.860804198,0.354234646,0.18057945
1.16982823,1.051211884,1.424745417,0.287990918,0.23368071
1.027904099,0.33876771,0.26798503,0.125387593,0.180065206
0.746381319,0.619938856,0.684473841,0.130248539,0.368380281
0.32826898,0.783491297,1.189125851,0.615569912,0.30072047
1.113550446,0.919881695,1.248163453,0.355411991,0.181349309
1.16982823,1.051211884,1.424745417,0.287990918,0.23368071
1.027904099,0.33876771,0.26798503,0.125387593,0.180065206
0.746381319,0.619938856,0.684473841,0.130248539,0.368380281
0.32826898,0.783491297,1.189125851,0.615569912,0.30072047
1.113550446,0.919881695,1.248163453,0.355411991,0.181349309
1.16982823,1.051211884,1.424745417,0.287990918,0.23368071
1.027904099,0.33876771,0.26798503,0.125387593,0.180065206
0.746381319,0.619938856,0.684473841,0.130248539,0.368380281
0.32826898,0.783491297,1.189125851,0.615569912,0.30072047
1.113550446,0.919881695,1.248163453,0.355411991,0.181349309
1.16982823,1.051211884,1.424745417,0.287990918,0.23368071
1.027904099,0.33876771,0.26798503,0.125387593,0.180065206
0.746381319,0.619938856,0.684473841,0.130248539,0.368380281
0.32826898,0.783491297,1.189125851,0.615569912,0.30072047
1.113550446,0.919881695,1.248163453,0.355411991,0.181349309
1.16982823,1.051211884,1.424745417,0.287990918,0.23368071
1.027904099,0.33876771,0.26798503,0.125387593,0.180065206
0.746381319,0.619938856,0.684473841,0.130248539,0.368380281
0.32826898,0.783491297,1.189125851,0.615569912,0.30072047
1.113550446,0.919881695,1.248163453,0.355411991,0.181349309
0.914317934,0.519774806,0.749712048,0.332957002,0.209429997
0.61966879,0.161341434,0.143068381,0.165958179,0.200107772
0.622266375,0.343962685,0.869704714,0.14410688,0.327395614
1.172694554,0.876640259,0.916242531,0.6486578,0.370499816
1.231977164,0.58531013,0.723682407,0.362369418,0.221250964
0.914317934,0.519774806,0.749712048,0.332957002,0.209429997
0.61966879,0.161341434,0.143068381,0.165958179,0.200107772
0.622266375,0.343962685,0.869704714,0.14410688,0.327395614
1.172694554,0.876640259,0.916242531,0.6486578,0.370499816
1.231977164,0.58531013,0.723682407,0.362369418,0.221250964
0.914317934,0.519774806,0.749712048,0.332957002,0.209429997
0.61966879,0.161341434,0.143068381,0.165958179,0.200107772
0.622266375,0.343962685,0.869704714,0.14410688,0.327395614
1.172694554,0.876640259,0.916242531,0.6486578,0.370499816
1.231977164,0.58531013,0.723682407,0.362369418,0.221250964
0.914317934,0.519774806,0.749712048,0.332957002,0.209429997
0.61966879,0.161341434,0.143068381,0.165958179,0.200107772
0.622266375,0.343962685,0.869704714,0.14410688,0.327395614
1.172694554,0.876640259,0.916242531,0.6486578,0.370499816
1.231977164,0.58531013,0.723682407,0.362369418,0.221250964
0.914317934,0.519774806,0.749712048,0.332957002,0.209429997
0.61966879,0.161341434,0.143068381,0.165958179,0.200107772
0.622266375,0.343962685,0.869704714,0.14410688,0.327395614
1.172694554,0.876640259,0.916242531,0.6486578,0.370499816
1.231977164,0.58531013,0.723682407,0.362369418,0.221250964
1.447234214,0.282916856,0.4694391,0.24273342,0.212850326
0.706890722,0.322822523,0.133503342,0.172720404,0.135265118
0.857241274,0.598580052,1.427632353,0.226980363,0.500934566
2.828166177,0.966002673,0.964233148,0.486081388,0.650334574
2.161292616,0.469748107,0.439420834,0.300658622,0.237828152
1.447234214,0.282916856,0.4694391,0.24273342,0.212850326
0.706890722,0.322822523,0.133503342,0.172720404,0.135265118
0.857241274,0.598580052,1.427632353,0.226980363,0.500934566
2.828166177,0.966002673,0.964233148,0.486081388,0.650334574
2.161292616,0.469748107,0.439420834,0.300658622,0.237828152
1.447234214,0.282916856,0.4694391,0.24273342,0.212850326
0.706890722,0.322822523,0.133503342,0.172720404,0.135265118
0.857241274,0.598580052,1.427632353,0.226980363,0.500934566
2.828166177,0.966002673,0.964233148,0.486081388,0.650334574
2.161292616,0.469748107,0.439420834,0.300658622,0.237828152
1.447234214,0.282916856,0.4694391,0.24273342,0.212850326
0.706890722,0.322822523,0.133503342,0.172720404,0.135265118
0.857241274,0.598580052,1.427632353,0.226980363,0.500934566
2.828166177,0.966002673,0.964233148,0.486081388,0.650334574
2.161292616,0.469748107,0.439420834,0.300658622,0.237828152
1.447234214,0.282916856,0.4694391,0.24273342,0.212850326
0.706890722,0.322822523,0.133503342,0.172720404,0.135265118
0.857241274,0.598580052,1.427632353,0.226980363,0.500934566
2.828166177,0.966002673,0.964233148,0.486081388,0.650334574
2.161292616,0.469748107,0.439420834,0.300658622,0.237828152
1.298417742,0.806669098,0.23381902,0.202462369,0.180900838
0.215697948,0.485231559,0.142266906,0.161006143,0.110822811
0.43548084,0.866190889,1.163921019,0.283137547,0.413833023
1.726620052,1.533217099,1.472165544,0.773057451,0.6336099
1.944657013,0.95041656,0.223923147,0.309140076,0.246758872
1.298417742,0.806669098,0.23381902,0.202462369,0.180900838
0.215697948,0.485231559,0.142266906,0.161006143,0.110822811
0.43548084,0.866190889,1.163921019,0.283137547,0.413833023
1.726620052,1.533217099,1.472165544,0.773057451,0.6336099
1.944657013,0.95041656,0.223923147,0.309140076,0.246758872
1.298417742,0.806669098,0.23381902,0.202462369,0.180900838
0.215697948,0.485231559,0.142266906,0.161006143,0.110822811
0.43548084,0.866190889,1.163921019,0.283137547,0.413833023
1.726620052,1.533217099,1.472165544,0.773057451,0.6336099
1.944657013,0.95041656,0.223923147,0.309140076,0.246758872
1.298417742,0.806669098,0.23381902,0.202462369,0.180900838
0.215697948,0.485231559,0.142266906,0.161006143,0.110822811
0.43548084,0.866190889,1.163921019,0.283137547,0.413833023
1.726620052,1.533217099,1.472165544,0.773057451,0.6336099
1.944657013,0.95041656,0.223923147,0.309140076,0.246758872
1.298417742,0.806669098,0.23381902,0.202462369,0.180900838
0.215697948,0.485231559,0.142266906,0.161006143,0.110822811
0.43548084,0.866190889,1.163921019,0.283137547,0.413833023
1.726620052,1.533217099,1.472165544,0.773057451,0.6336099
1.944657013,0.95041656,0.223923147,0.309140076,0.246758872
2.582390613,1.147357037,0.224891331,0.217890339,0.231490331
0.457555448,0.489012215,0.195805058,0.169176327,0.14192121
1.002114408,0.750146899,0.37519537,0.369652489,0.373801397
1.913313185,1.321179206,1.403531285,1.04142066,0.496473207
3.803442507,1.084036741,0.216064925,0.296516438,0.267929041
2.582390613,1.147357037,0.224891331,0.217890339,0.231490331
0.457555448,0.489012215,0.195805058,0.169176327,0.14192121
1.002114408,0.750146899,0.37519537,0.369652489,0.373801397
1.913313185,1.321179206,1.403531285,1.04142066,0.496473207
3.803442507,1.084036741,0.216064925,0.296516438,0.267929041
2.582390613,1.147357037,0.224891331,0.217890339,0.231490331
0.457555448,0.489012215,0.195805058,0.169176327,0.14192121
1.002114408,0.750146899,0.37519537,0.369652489,0.373801397
1.913313185,1.321179206,1.403531285,1.04142066,0.496473207
3.803442507,1.084036741,0.216064925,0.296516438,0.267929041
2.582390613,1.147357037,0.224891331,0.217890339,0.231490331
0.457555448,0.489012215,0.195805058,0.169176327,0.14192121
1.002114408,0.750146899,0.37519537,0.369652489,0.373801397
1.913313185,1.321179206,1.403531285,1.04142066,0.496473207
3.803442507,1.084036741,0.216064925,0.296516438,0.267929041
2.582390613,1.147357037,0.224891331,0.217890339,0.231490331
0.457555448,0.489012215,0.195805058,0.169176327,0.14192121
1.002114408,0.750146899,0.37519537,0.369652489,0.373801397
1.913313185,1.321179206,1.403531285,1.04142066,0.496473207
3.803442507,1.084036741,0.216064925,0.296516438,0.267929041
4.490066935,1.057914975,0.417949718,0.193499992,0.21752983
4.273072767,1.146167131,0.316673894,0.174602289,0.163940707
3.406966418,0.873082934,0.258311992,0.495388277,0.43767952
3.552971621,1.498721328,2.04576871,1.282777143,0.673605662
5.326965484,0.782160553,0.390023812,0.254502667,0.222952416
